volcano_number,volcano_name,eruption_number,vei,start_year,end_year,latitude,longitude,decade,country,region,subregion,elevation,tectonic_settings,volcano_type
284200,Anatahan,18536,3.0,2004-01-01,2005.0,16.35,145.67,2000.0,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",790.0,Subduction zone / Crustal thickness unknown,Stratovolcano
344040,Telica,10937,1.0,2004-01-01,2004.0,12.606,-86.84,2000.0,Nicaragua,México and Central America,Nicaragua,1036.0,Subduction zone / Continental crust (>25 km),Stratovolcano
243060,Tofua,14752,1.0,2004-01-01,2014.0,-19.75,-175.07,2000.0,Tonga,New Zealand to Fiji,Tonga Islands,515.0,Subduction zone / Oceanic crust (< 15 km),Caldera
282060,Kikai,17003,2.0,2004-01-01,2004.0,30.793,130.305,2000.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,704.0,Subduction zone / Oceanic crust (< 15 km),Caldera
360050,Soufriere Hills,12347,3.0,2004-01-01,2004.0,16.72,-62.18,2000.0,United Kingdom,West Indies,West Indies,915.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
285050,Tokachidake,18661,1.0,2004-01-01,2004.0,43.418,142.686,2000.0,Japan,"Japan, Taiwan, Marianas",Hokkaido,2077.0,Subduction zone / Continental crust (>25 km),Stratovolcano
252080,Witori,15028,1.0,2004-01-01,2004.0,-5.576,150.516,2000.0,Papua New Guinea,Melanesia and Australia,New Britain,724.0,Subduction zone / Continental crust (>25 km),Caldera
311360,Shishaldin,20100,2.0,2004-01-01,2004.0,54.756,-163.97,2000.0,United States,Alaska,Aleutian Islands,2857.0,Subduction zone / Continental crust (>25 km),Stratovolcano
257060,Epi,15332,2.0,2004-01-01,2004.0,-16.68,168.37,2000.0,Vanuatu,Melanesia and Australia,Vanuatu,833.0,Subduction zone / Intermediate crust (15-25 km),Stratovolcano
211060,Etna,13838,1.0,2004-01-01,2004.0,37.748,14.999,2000.0,Italy,Mediterranean and Western Asia,Italy,3295.0,Subduction zone / Continental crust (>25 km),Stratovolcano
